Model,Accuracy,Precision,Recall,F1,ROC-AUC
SVM (RBF),0.8100558659217877,0.8181818181818182,0.6521739130434783,0.7258064516129032,0.849407114624506
Logistic Regression,0.8044692737430168,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.8486166007905138
Random Forest,0.8044692737430168,0.7741935483870968,0.6956521739130435,0.732824427480916,0.8351119894598156
